,Время,Направление,Unnamed: 2,Рейс,Терминал,Статус
0,00:05,Мурманск,,"FV 6384, SU 6384Россия, Аэрофлот",B,ПрилетелВыдача багажа: лента 5
1,Совершил посадку в 23:38 2 июня,Совершил посадку в 23:38 2 июня,,"FV 6384, SU 6384Россия, Аэрофлот",B,ПрилетелВыдача багажа: лента 5
2,00:05,Симферополь,,SU 1659Аэрофлот,B,ПрилетелВыдача багажа: лента 4
3,Совершил посадку в 00:21,Совершил посадку в 00:21,,SU 1659Аэрофлот,B,ПрилетелВыдача багажа: лента 4
4,00:10,Анапа,,SU 1543Аэрофлот,B,ПрилетелВыдача багажа: лента 2
5,Совершил посадку в 23:45 2 июня,Совершил посадку в 23:45 2 июня,,SU 1543Аэрофлот,B,ПрилетелВыдача багажа: лента 2
6,00:15,Ростов-на-Дону,,SU 1677Аэрофлот,B,ПрилетелВыдача багажа: лента 1
7,Совершил посадку в 23:47 2 июня,Совершил посадку в 23:47 2 июня,,SU 1677Аэрофлот,B,ПрилетелВыдача багажа: лента 1
8,00:25,Санкт-Петербург,,"AZ 4361, JU 7028Alitalia, Air Serbia",B,ПрилетелВыдача багажа: лента 2
9,Совершил посадку в 23:59 2 июня,Совершил посадку в 23:59 2 июня,,"AZ 4361, JU 7028Alitalia, Air Serbia",B,ПрилетелВыдача багажа: лента 2
10,00:25,Санкт-Петербург,,SU 31Аэрофлот,B,ПрилетелВыдача багажа: лента 2
11,Совершил посадку в 23:59 2 июня,Совершил посадку в 23:59 2 июня,,SU 31Аэрофлот,B,ПрилетелВыдача багажа: лента 2
12,00:35,Санкт-Петербург,,SU 59Аэрофлот,B,ПрилетелВыдача багажа: лента 1
13,Совершил посадку в 00:10,Совершил посадку в 00:10,,SU 59Аэрофлот,B,ПрилетелВыдача багажа: лента 1
14,00:35,Анталья,,ZF 9008Azur Air,D,Нет актуальной информации о статусе
15,,,,ZF 9008Azur Air,D,Нет актуальной информации о статусе
16,00:40,Сочи,,SU 1131Аэрофлот,B,ПрилетелВыдача багажа: лента 4
17,Совершил посадку в 01:16,Совершил посадку в 01:16,,SU 1131Аэрофлот,B,ПрилетелВыдача багажа: лента 4
18,00:40,Сочи,,"KL 2859, JU 7041KLM, Air Serbia",B,ПрилетелВыдача багажа: лента 4
19,Совершил посадку в 01:16,Совершил посадку в 01:16,,"KL 2859, JU 7041KLM, Air Serbia",B,ПрилетелВыдача багажа: лента 4
20,00:50,Сочи,,SU 1119Аэрофлот,B,ПрилетелВыдача багажа: лента 2
21,Совершил посадку в 00:46,Совершил посадку в 00:46,,SU 1119Аэрофлот,B,ПрилетелВыдача багажа: лента 2
22,00:50,Сочи,,"KL 3197, AZ 5552KLM, Alitalia",B,ПрилетелВыдача багажа: лента 2
23,Совершил посадку в 00:46,Совершил посадку в 00:46,,"KL 3197, AZ 5552KLM, Alitalia",B,ПрилетелВыдача багажа: лента 2
24,00:55,Мале,,SU 325Аэрофлот,D,ПрилетелВыдача багажа: лента 9
25,Совершил посадку в 23:48 2 июня,Совершил посадку в 23:48 2 июня,,SU 325Аэрофлот,D,ПрилетелВыдача багажа: лента 9
26,01:10,Санкт-Петербург,,"AZ 5561, JU 7032Alitalia, Air Serbia",B,ПрилетелВыдача багажа: лента 1
27,Совершил посадку в 01:01,Совершил посадку в 01:01,,"AZ 5561, JU 7032Alitalia, Air Serbia",B,ПрилетелВыдача багажа: лента 1
28,01:10,Санкт-Петербург,,SU 45Аэрофлот,B,ПрилетелВыдача багажа: лента 1
29,Совершил посадку в 01:01,Совершил посадку в 01:01,,SU 45Аэрофлот,B,ПрилетелВыдача багажа: лента 1
30,01:20,Самара,,SU 1203Аэрофлот,B,ПрилетелВыдача багажа: лента 3
31,Совершил посадку в 00:58,Совершил посадку в 00:58,,SU 1203Аэрофлот,B,ПрилетелВыдача багажа: лента 3
32,01:20,Екатеринбург,,"FV 6400, SU 6400Россия, Аэрофлот",B,Нет актуальной информации о статусе
33,,,,"FV 6400, SU 6400Россия, Аэрофлот",B,Нет актуальной информации о статусе
34,01:30,Симферополь,,FV 6156Россия,B,
35,Отменен,Отменен,,FV 6156Россия,B,
36,01:55,Анапа,,FV 5516Россия,D,ПрилетелВыдача багажа: лента 1
37,Совершил посадку в 01:48,Совершил посадку в 01:48,,FV 5516Россия,D,ПрилетелВыдача багажа: лента 1
38,02:40,Симферополь,,"FV 6884, SU 6884Россия, Аэрофлот",B,ПрилетелВыдача багажа: лента 6
39,Совершил посадку в 02:19,Совершил посадку в 02:19,,"FV 6884, SU 6884Россия, Аэрофлот",B,ПрилетелВыдача багажа: лента 6
40,04:35,Сыктывкар,,"FV 6408, SU 6408Россия, Аэрофлот",B,ПрилетелВыдача багажа: лента 6
41,Совершил посадку в 04:01,Совершил посадку в 04:01,,"FV 6408, SU 6408Россия, Аэрофлот",B,ПрилетелВыдача багажа: лента 6
42,04:40,Сочи,,SU 1595Аэрофлот,B,ПрилетелВыдача багажа: лента 3
43,Совершил посадку в 04:23,Совершил посадку в 04:23,,SU 1595Аэрофлот,B,ПрилетелВыдача багажа: лента 3
44,04:55,Минеральные Воды,,KL 3243KLM,B,ПрилетелВыдача багажа: лента 6
45,Совершил посадку в 04:29,Совершил посадку в 04:29,,KL 3243KLM,B,ПрилетелВыдача багажа: лента 6
46,04:55,Минеральные Воды,,SU 1315Аэрофлот,B,ПрилетелВыдача багажа: лента 6
47,Совершил посадку в 04:29,Совершил посадку в 04:29,,SU 1315Аэрофлот,B,ПрилетелВыдача багажа: лента 6
48,05:00,Екатеринбург,,DP 6542Победа,D,ПрилетелВыдача багажа: лента 4
49,Совершил посадку в 04:34,Совершил посадку в 04:34,,DP 6542Победа,D,ПрилетелВыдача багажа: лента 4
50,05:05,Симферополь,,SU 1627Аэрофлот,B,ПрилетелВыдача багажа: лента 2
51,Совершил посадку в 04:36,Совершил посадку в 04:36,,SU 1627Аэрофлот,B,ПрилетелВыдача багажа: лента 2
52,05:10,Санкт-Петербург,,SU 37Аэрофлот,B,ПрилетелВыдача багажа: лента 1
53,Совершил посадку в 04:55,Совершил посадку в 04:55,,SU 37Аэрофлот,B,ПрилетелВыдача багажа: лента 1
54,05:10,Мурманск,,SU 1323Аэрофлот,B,ПрилетелВыдача багажа: лента 5
55,Совершил посадку в 04:58,Совершил посадку в 04:58,,SU 1323Аэрофлот,B,ПрилетелВыдача багажа: лента 5
56,05:10,Мурманск,,KL 2850KLM,B,ПрилетелВыдача багажа: лента 5
57,Совершил посадку в 04:58,Совершил посадку в 04:58,,KL 2850KLM,B,ПрилетелВыдача багажа: лента 5
58,05:15,Анапа,,SU 1145Аэрофлот,B,ПрилетелВыдача багажа: лента 4
59,Совершил посадку в 04:47,Совершил посадку в 04:47,,SU 1145Аэрофлот,B,ПрилетелВыдача багажа: лента 4
