,Время,Направление,Unnamed: 2,Рейс,Терминал,Статус
0,23:30 18 апр,Ростов-на-Дону,,N4 188Nordwind,D,ПрилетелВыдача багажа: лента 3
1,Совершил посадку в 00:25 19 апр,Совершил посадку в 00:25 19 апр,,N4 188Nordwind,D,ПрилетелВыдача багажа: лента 3
2,00:05 19 апр,Мурманск,,SU 1317Аэрофлот,B,ПрилетелВыдача багажа: лента 5
3,Совершил посадку в 23:36 18 апр,Совершил посадку в 23:36 18 апр,,SU 1317Аэрофлот,B,ПрилетелВыдача багажа: лента 5
4,00:15 19 апр,Сочи,,SU 1131Аэрофлот,B,ПрилетелВыдача багажа: лента 2
5,Совершил посадку в 23:48 18 апр,Совершил посадку в 23:48 18 апр,,SU 1131Аэрофлот,B,ПрилетелВыдача багажа: лента 2
6,00:15 19 апр,Сочи,,JU 7041Air Serbia,B,ПрилетелВыдача багажа: лента 2
7,Совершил посадку в 23:48 18 апр,Совершил посадку в 23:48 18 апр,,JU 7041Air Serbia,B,ПрилетелВыдача багажа: лента 2
8,00:20 19 апр,Челябинск,,"FV 6262, SU 6262Россия, Аэрофлот",B,ПрилетелВыдача багажа: лента 5
9,Совершил посадку в 23:46 18 апр,Совершил посадку в 23:46 18 апр,,"FV 6262, SU 6262Россия, Аэрофлот",B,ПрилетелВыдача багажа: лента 5
10,00:25,Санкт-Петербург,,"AZ 4361, JU 7028Alitalia, Air Serbia",B,ПрилетелВыдача багажа: лента 5
11,Совершил посадку в 00:18,Совершил посадку в 00:18,,"AZ 4361, JU 7028Alitalia, Air Serbia",B,ПрилетелВыдача багажа: лента 5
12,00:25,Санкт-Петербург,,SU 31Аэрофлот,B,ПрилетелВыдача багажа: лента 5
13,Совершил посадку в 00:18,Совершил посадку в 00:18,,SU 31Аэрофлот,B,ПрилетелВыдача багажа: лента 5
14,00:55,Сочи,,SU 1119Аэрофлот,B,ПрилетелВыдача багажа: лента 2
15,Совершил посадку в 00:58,Совершил посадку в 00:58,,SU 1119Аэрофлот,B,ПрилетелВыдача багажа: лента 2
16,00:55,Сочи,,AZ 5552Alitalia,B,ПрилетелВыдача багажа: лента 2
17,Совершил посадку в 00:58,Совершил посадку в 00:58,,AZ 5552Alitalia,B,ПрилетелВыдача багажа: лента 2
18,01:00,Мале,,SU 325Аэрофлот,D,ПрилетелВыдача багажа: лента 9
19,Совершил посадку в 00:21,Совершил посадку в 00:21,,SU 325Аэрофлот,D,ПрилетелВыдача багажа: лента 9
20,01:15,Сочи,,FV 5504Россия,D,ПрилетелВыдача багажа: лента 1
