,Время,Направление,Unnamed: 2,Рейс,Терминал,Статус
0,22:30 19 апр,Сочи,,"EO 226, N4 226Pegas Fly, Nordwind",D,ПрилетелВыдача багажа: лента 4
1,Совершил посадку в 00:24 20 апр,Совершил посадку в 00:24 20 апр,,"EO 226, N4 226Pegas Fly, Nordwind",D,ПрилетелВыдача багажа: лента 4
2,00:05 20 апр,Мурманск,,SU 1317Аэрофлот,B,ПрилетелВыдача багажа: лента 5
3,Совершил посадку в 23:56 19 апр,Совершил посадку в 23:56 19 апр,,SU 1317Аэрофлот,B,ПрилетелВыдача багажа: лента 5
4,00:10 20 апр,Оренбург,,"EO 530, N4 530Pegas Fly, Nordwind",D,ПрилетелВыдача багажа: лента 2
5,Совершил посадку в 23:49 19 апр,Совершил посадку в 23:49 19 апр,,"EO 530, N4 530Pegas Fly, Nordwind",D,ПрилетелВыдача багажа: лента 2
6,00:15 20 апр,Сочи,,SU 1131Аэрофлот,B,ПрилетелВыдача багажа: лента 2
7,Совершил посадку в 23:34 19 апр,Совершил посадку в 23:34 19 апр,,SU 1131Аэрофлот,B,ПрилетелВыдача багажа: лента 2
8,00:15 20 апр,Сочи,,JU 7041Air Serbia,B,ПрилетелВыдача багажа: лента 2
9,Совершил посадку в 23:34 19 апр,Совершил посадку в 23:34 19 апр,,JU 7041Air Serbia,B,ПрилетелВыдача багажа: лента 2
10,00:20 20 апр,Челябинск,,"FV 6262, SU 6262Россия, Аэрофлот",B,ПрилетелВыдача багажа: лента 4
11,Совершил посадку в 23:40 19 апр,Совершил посадку в 23:40 19 апр,,"FV 6262, SU 6262Россия, Аэрофлот",B,ПрилетелВыдача багажа: лента 4
12,00:25,Санкт-Петербург,,"AZ 4361, JU 7028Alitalia, Air Serbia",B,ПрилетелВыдача багажа: лента 1
13,Совершил посадку в 00:08,Совершил посадку в 00:08,,"AZ 4361, JU 7028Alitalia, Air Serbia",B,ПрилетелВыдача багажа: лента 1
14,00:25,Санкт-Петербург,,SU 31Аэрофлот,B,ПрилетелВыдача багажа: лента 1
15,Совершил посадку в 00:08,Совершил посадку в 00:08,,SU 31Аэрофлот,B,ПрилетелВыдача багажа: лента 1
16,00:55,Сочи,,AZ 5552Alitalia,B,ПрилетелВыдача багажа: лента 1
17,Совершил посадку в 00:31,Совершил посадку в 00:31,,AZ 5552Alitalia,B,ПрилетелВыдача багажа: лента 1
18,00:55,Сочи,,SU 1119Аэрофлот,B,ПрилетелВыдача багажа: лента 1
19,Совершил посадку в 00:31,Совершил посадку в 00:31,,SU 1119Аэрофлот,B,ПрилетелВыдача багажа: лента 1
20,04:35,Сыктывкар,,"FV 6408, SU 6408Россия, Аэрофлот",B,ПрилетелВыдача багажа: лента 6
21,Совершил посадку в 04:07,Совершил посадку в 04:07,,"FV 6408, SU 6408Россия, Аэрофлот",B,ПрилетелВыдача багажа: лента 6
22,04:45,Махачкала,,SU 1057Аэрофлот,B,ПрилетелВыдача багажа: лента 5
23,Совершил посадку в 04:20,Совершил посадку в 04:20,,SU 1057Аэрофлот,B,ПрилетелВыдача багажа: лента 5
