,Время,Направление,Unnamed: 2,Рейс,Статус
0,23:55 31 мар,Санкт-Петербург,,"S7 1020, EK 7816, A3 3522, QR 5721S7 Airlines, Emirates, Aegean Airlines, Qatar Airways",Прилетел
1,Совершил посадку в 00:05 1 апр,Совершил посадку в 00:05 1 апр,,"S7 1020, EK 7816, A3 3522, QR 5721S7 Airlines, Emirates, Aegean Airlines, Qatar Airways",Прилетел
2,00:15 1 апр,Сабетта,,Y7 9236Нордстар,Прилетел
3,Совершил посадку в 23:58 31 мар,Совершил посадку в 23:58 31 мар,,Y7 9236Нордстар,Прилетел
4,00:20,Краснодар,,"S7 2078, QR 5706S7 Airlines, Qatar Airways",Прилетел
5,Совершил посадку в 00:16,Совершил посадку в 00:16,,"S7 2078, QR 5706S7 Airlines, Qatar Airways",Прилетел
6,00:25,Мюнхен,,LH 2530Lufthansa,Нет актуальной информации о статусе
7,,,,LH 2530Lufthansa,Нет актуальной информации о статусе
8,00:55,Вена,,OS 605Austrian,Нет актуальной информации о статусе
9,,,,OS 605Austrian,Нет актуальной информации о статусе
10,01:50,Анталья,,PC 1580Pegasus,Нет актуальной информации о статусе
11,,,,PC 1580Pegasus,Нет актуальной информации о статусе
12,02:55,Цюрих,,LX 1324Swiss,Нет актуальной информации о статусе
13,,,,LX 1324Swiss,Нет актуальной информации о статусе
14,05:05,Челябинск,,S7 1152S7 Airlines,Прилетел
15,Совершил посадку в 04:59,Совершил посадку в 04:59,,S7 1152S7 Airlines,Прилетел
16,05:30,Уфа,,"S7 1132, TP 8151, SQ 1924, LY 8914, QR 5760, EK 7864, EY 8728S7 Airlines, Tap, Singapore Airlines, El Al, Qatar Airways, Emirates, Etihad Airways",Прилетел
17,Совершил посадку в 05:21,Совершил посадку в 05:21,,"S7 1132, TP 8151, SQ 1924, LY 8914, QR 5760, EK 7864, EY 8728S7 Airlines, Tap, Singapore Airlines, El Al, Qatar Airways, Emirates, Etihad Airways",Прилетел
18,06:00,Ош,,U6 2910Уральские авиалинии,Нет актуальной информации о статусе
19,,,,U6 2910Уральские авиалинии,Нет актуальной информации о статусе
