,Время,Направление,Unnamed: 2,Рейс,Статус
0,14:50 2 июня,Ларнака,,R3 9832Якутия,
1,Отменен,Отменен,,R3 9832Якутия,
2,00:00,Сыктывкар,,TK 9089Turkish Airlines,ПрилетелВыдача багажа: лента А08
3,Совершил посадку в 23:42 2 июня,Совершил посадку в 23:42 2 июня,,TK 9089Turkish Airlines,ПрилетелВыдача багажа: лента А08
4,00:00,Сыктывкар,,UT 376ЮТэйр,ПрилетелВыдача багажа: лента А08
5,Совершил посадку в 23:42 2 июня,Совершил посадку в 23:42 2 июня,,UT 376ЮТэйр,ПрилетелВыдача багажа: лента А08
6,00:00,Самара,,TK 9007Turkish Airlines,ПрилетелВыдача багажа: лента А05
7,Совершил посадку в 00:21,Совершил посадку в 00:21,,TK 9007Turkish Airlines,ПрилетелВыдача багажа: лента А05
8,00:00,Самара,,"UT 358, 7R 4358ЮТэйр, РусЛайн",ПрилетелВыдача багажа: лента А05
9,Совершил посадку в 00:21,Совершил посадку в 00:21,,"UT 358, 7R 4358ЮТэйр, РусЛайн",ПрилетелВыдача багажа: лента А05
10,00:05,Дубай,,FZ 1917Flydubai,ПрилетелВыдача багажа: лента А10
11,Совершил посадку в 00:28,Совершил посадку в 00:28,,FZ 1917Flydubai,ПрилетелВыдача багажа: лента А10
12,00:15,Анталья,,EO 1818Pegas Fly,
13,Отменен,Отменен,,EO 1818Pegas Fly,
14,00:35,Санкт-Петербург,,"FV 6021, SU 6021Россия, Аэрофлот",ПрилетелВыдача багажа: лента А04
15,Совершил посадку в 00:04,Совершил посадку в 00:04,,"FV 6021, SU 6021Россия, Аэрофлот",ПрилетелВыдача багажа: лента А04
16,00:55,Ереван,,UT 9880ЮТэйр,ПрилетелВыдача багажа: лента А13
17,Совершил посадку в 01:04,Совершил посадку в 01:04,,UT 9880ЮТэйр,ПрилетелВыдача багажа: лента А13
18,00:55,Уфа,,"UT 592, 7R 4592ЮТэйр, РусЛайн",ПрилетелВыдача багажа: лента А04
19,Совершил посадку в 01:11,Совершил посадку в 01:11,,"UT 592, 7R 4592ЮТэйр, РусЛайн",ПрилетелВыдача багажа: лента А04
20,01:05,Анталья,,TK 4001Turkish Airlines,Нет актуальной информации о статусе
21,,,,TK 4001Turkish Airlines,Нет актуальной информации о статусе
22,01:45,Анталья,,"TK 211, UT 4211Turkish Airlines, ЮТэйр",
23,Отменен,Отменен,,"TK 211, UT 4211Turkish Airlines, ЮТэйр",
24,02:50,Нальчик,,R3 786Якутия,ПрилетелВыдача багажа: лента А06
25,Совершил посадку в 02:54,Совершил посадку в 02:54,,R3 786Якутия,ПрилетелВыдача багажа: лента А06
26,02:55,Махачкала,,DP 188Победа,ПрилетелВыдача багажа: лента А05
27,Совершил посадку в 02:51,Совершил посадку в 02:51,,DP 188Победа,ПрилетелВыдача багажа: лента А05
28,02:55,Душанбе,,UT 6804ЮТэйр,Нет актуальной информации о статусе
29,,,,UT 6804ЮТэйр,Нет актуальной информации о статусе
30,02:55,Анкара,,TK 7698AnadoluJet,
31,Отменен,Отменен,,TK 7698AnadoluJet,
32,03:05,Даламан,,TK 4007Turkish Airlines,
33,Отменен,Отменен,,TK 4007Turkish Airlines,
34,03:20,Анапа,,UT 458ЮТэйр,ПрилетелВыдача багажа: лента А04
35,Совершил посадку в 03:04,Совершил посадку в 03:04,,UT 458ЮТэйр,ПрилетелВыдача багажа: лента А04
36,03:40,Краснодар,,"UT 508, 7R 4508ЮТэйр, РусЛайн",ПрилетелВыдача багажа: лента А05
37,Совершил посадку в 03:43,Совершил посадку в 03:43,,"UT 508, 7R 4508ЮТэйр, РусЛайн",ПрилетелВыдача багажа: лента А05
38,03:50,Мугла,,TK 4005Turkish Airlines,
39,Отменен,Отменен,,TK 4005Turkish Airlines,
40,04:30,Калининград,,"UT 394, 7R 4394ЮТэйр, РусЛайн",ПрилетелВыдача багажа: лента А06
41,Совершил посадку в 04:05,Совершил посадку в 04:05,,"UT 394, 7R 4394ЮТэйр, РусЛайн",ПрилетелВыдача багажа: лента А06
42,04:30,Сочи,,UT 270ЮТэйр,ПрилетелВыдача багажа: лента А04
43,Совершил посадку в 04:11,Совершил посадку в 04:11,,UT 270ЮТэйр,ПрилетелВыдача багажа: лента А04
44,05:00,Стамбул,,"TK 419, UT 4419Turkish Airlines, ЮТэйр",
45,Отменен,Отменен,,"TK 419, UT 4419Turkish Airlines, ЮТэйр",
46,05:10,Новосибирск,,DP 420Победа,ПрилетелВыдача багажа: лента А05
47,Совершил посадку в 05:08,Совершил посадку в 05:08,,DP 420Победа,ПрилетелВыдача багажа: лента А05
48,05:35,Омск,,DP 472Победа,ПрилетелВыдача багажа: лента А07
49,Совершил посадку в 05:18,Совершил посадку в 05:18,,DP 472Победа,ПрилетелВыдача багажа: лента А07
50,05:45,Мурманск,,UT 578ЮТэйр,ПрилетелВыдача багажа: лента А06
51,Совершил посадку в 05:29,Совершил посадку в 05:29,,UT 578ЮТэйр,ПрилетелВыдача багажа: лента А06
52,05:45,Ларнака,,R3 9832Якутия,
53,Отменен,Отменен,,R3 9832Якутия,
54,06:05,Самара,,TK 9009Turkish Airlines,ПрилетелВыдача багажа: лента А04
55,Совершил посадку в 05:47,Совершил посадку в 05:47,,TK 9009Turkish Airlines,ПрилетелВыдача багажа: лента А04
56,06:05,Самара,,"UT 438, 7R 4438ЮТэйр, РусЛайн",ПрилетелВыдача багажа: лента А04
57,Совершил посадку в 05:47,Совершил посадку в 05:47,,"UT 438, 7R 4438ЮТэйр, РусЛайн",ПрилетелВыдача багажа: лента А04
58,06:10,Сургут,,"UT 254, 7R 4254ЮТэйр, РусЛайн",ПрилетелВыдача багажа: лента А05
59,Совершил посадку в 05:57,Совершил посадку в 05:57,,"UT 254, 7R 4254ЮТэйр, РусЛайн",ПрилетелВыдача багажа: лента А05
60,06:10,Канкун,,ZF 112Azur Air,ПрилетелВыдача багажа: лента А12
61,Совершил посадку в 06:31,Совершил посадку в 06:31,,ZF 112Azur Air,ПрилетелВыдача багажа: лента А12
62,06:15,Челябинск,,DP 414Победа,ПрилетелВыдача багажа: лента А07
63,Совершил посадку в 06:09,Совершил посадку в 06:09,,DP 414Победа,ПрилетелВыдача багажа: лента А07
64,06:15,Пермь,,DP 434Победа,ПрилетелВыдача багажа: лента А06
65,Совершил посадку в 06:13,Совершил посадку в 06:13,,DP 434Победа,ПрилетелВыдача багажа: лента А06
66,06:30,Екатеринбург,,DP 406Победа,ПрилетелВыдача багажа: лента А08
67,Совершил посадку в 06:04,Совершил посадку в 06:04,,DP 406Победа,ПрилетелВыдача багажа: лента А08
68,07:00,Курган,,DP 496Победа,ПрилетелВыдача багажа: лента А05
69,Совершил посадку в 06:41,Совершил посадку в 06:41,,DP 496Победа,ПрилетелВыдача багажа: лента А05
70,07:10,Тюмень,,DP 450Победа,ПрилетелВыдача багажа: лента А07
71,Совершил посадку в 07:05,Совершил посадку в 07:05,,DP 450Победа,ПрилетелВыдача багажа: лента А07
72,07:15,Уфа,,DP 436Победа,ПрилетелВыдача багажа: лента А08
73,Совершил посадку в 06:46,Совершил посадку в 06:46,,DP 436Победа,ПрилетелВыдача багажа: лента А08
74,07:20,Ташкент,,HY 3611Узбекистон Хаво Йуллари,ПрилетелВыдача багажа: лента А09
75,Совершил посадку в 07:14,Совершил посадку в 07:14,,HY 3611Узбекистон Хаво Йуллари,ПрилетелВыдача багажа: лента А09
76,07:20,Сургут,,DP 260Победа,ПрилетелВыдача багажа: лента А06
77,Совершил посадку в 07:30,Совершил посадку в 07:30,,DP 260Победа,ПрилетелВыдача багажа: лента А06
78,07:35,Санкт-Петербург,,"FV 6009, SU 6009Россия, Аэрофлот",ПрилетелВыдача багажа: лента А04
79,Совершил посадку в 07:11,Совершил посадку в 07:11,,"FV 6009, SU 6009Россия, Аэрофлот",ПрилетелВыдача багажа: лента А04
80,07:55,Екатеринбург,,DP 404Победа,ПрилетелВыдача багажа: лента А04
81,Совершил посадку в 07:35,Совершил посадку в 07:35,,DP 404Победа,ПрилетелВыдача багажа: лента А04
82,08:00,Тюмень,,"UT 454, 7R 4454ЮТэйр, РусЛайн",ПрилетелВыдача багажа: лента А08
83,Совершил посадку в 08:04,Совершил посадку в 08:04,,"UT 454, 7R 4454ЮТэйр, РусЛайн",ПрилетелВыдача багажа: лента А08
84,08:00,Тюмень,,TK 9000Turkish Airlines,ПрилетелВыдача багажа: лента А08
85,Совершил посадку в 08:04,Совершил посадку в 08:04,,TK 9000Turkish Airlines,ПрилетелВыдача багажа: лента А08
86,08:00,Бухара,,ZF 5020Azur Air,ПрилетелВыдача багажа: лента А10
87,Совершил посадку в 08:09,Совершил посадку в 08:09,,ZF 5020Azur Air,ПрилетелВыдача багажа: лента А10
88,08:05,Красноярск,,"UT 572, 7R 4572ЮТэйр, РусЛайн",ПрилетелВыдача багажа: лента А06
89,Совершил посадку в 08:00,Совершил посадку в 08:00,,"UT 572, 7R 4572ЮТэйр, РусЛайн",ПрилетелВыдача багажа: лента А06
90,08:05,Красноярск,,TK 9027Turkish Airlines,ПрилетелВыдача багажа: лента А06
91,Совершил посадку в 08:00,Совершил посадку в 08:00,,TK 9027Turkish Airlines,ПрилетелВыдача багажа: лента А06
92,08:10,Сыктывкар,,UT 380ЮТэйр,ПрилетелВыдача багажа: лента А05
93,Совершил посадку в 07:44,Совершил посадку в 07:44,,UT 380ЮТэйр,ПрилетелВыдача багажа: лента А05
94,08:10,Красноярск,,DP 1418Победа,ПрилетелВыдача багажа: лента А05
95,Совершил посадку в 07:52,Совершил посадку в 07:52,,DP 1418Победа,ПрилетелВыдача багажа: лента А05
96,08:10,Уфа,,"UT 364, 7R 4364ЮТэйр, РусЛайн",ПрилетелВыдача багажа: лента А07
97,Совершил посадку в 08:07,Совершил посадку в 08:07,,"UT 364, 7R 4364ЮТэйр, РусЛайн",ПрилетелВыдача багажа: лента А07
98,08:10,Уфа,,TK 9049Turkish Airlines,ПрилетелВыдача багажа: лента А07
99,Совершил посадку в 08:07,Совершил посадку в 08:07,,TK 9049Turkish Airlines,ПрилетелВыдача багажа: лента А07
100,08:15,Сургут,,TK 9031Turkish Airlines,ПрилетелВыдача багажа: лента А05
101,Совершил посадку в 08:13,Совершил посадку в 08:13,,TK 9031Turkish Airlines,ПрилетелВыдача багажа: лента А05
102,08:15,Сургут,,"UT 248, 7R 4248ЮТэйр, РусЛайн",ПрилетелВыдача багажа: лента А05
103,Совершил посадку в 08:13,Совершил посадку в 08:13,,"UT 248, 7R 4248ЮТэйр, РусЛайн",ПрилетелВыдача багажа: лента А05
104,08:20,Санкт-Петербург,,DP 204Победа,ПрилетелВыдача багажа: лента А04
105,Совершил посадку в 07:55,Совершил посадку в 07:55,,DP 204Победа,ПрилетелВыдача багажа: лента А04
106,08:20,Кемерово,,DP 446Победа,ПрилетелВыдача багажа: лента А07
107,Совершил посадку в 08:20,Совершил посадку в 08:20,,DP 446Победа,ПрилетелВыдача багажа: лента А07
108,08:50,Махачкала,,"UT 560, 7R 4560ЮТэйр, РусЛайн",ПрилетелВыдача багажа: лента А04
109,Совершил посадку в 08:25,Совершил посадку в 08:25,,"UT 560, 7R 4560ЮТэйр, РусЛайн",ПрилетелВыдача багажа: лента А04
110,08:50,Махачкала,,TK 9160Turkish Airlines,ПрилетелВыдача багажа: лента А04
111,Совершил посадку в 08:25,Совершил посадку в 08:25,,TK 9160Turkish Airlines,ПрилетелВыдача багажа: лента А04
112,08:50,Курск,,"7R 120, UT 4120РусЛайн, ЮТэйр",ПрилетелВыдача багажа: лента А04
113,Совершил посадку в 08:37,Совершил посадку в 08:37,,"7R 120, UT 4120РусЛайн, ЮТэйр",ПрилетелВыдача багажа: лента А04
114,09:00,Краснодар,,DP 160Победа,ПрилетелВыдача багажа: лента А08
115,Совершил посадку в 09:51,Совершил посадку в 09:51,,DP 160Победа,ПрилетелВыдача багажа: лента А08
116,09:05,Воронеж,,"7R 556, UT 4556РусЛайн, ЮТэйр",ПрилетелВыдача багажа: лента А04
117,Совершил посадку в 08:43,Совершил посадку в 08:43,,"7R 556, UT 4556РусЛайн, ЮТэйр",ПрилетелВыдача багажа: лента А04
118,09:05,Санкт-Петербург,,DP 206Победа,ПрилетелВыдача багажа: лента А04
