,Время,Направление,Unnamed: 2,Рейс,Терминал,Статус
0,21:45 21 мая,Каир,,SV 6028Saudi Arabian Airlines,D,ПрилетелВыдача багажа: лента 7
1,Совершил посадку в 00:35 22 мая,Совершил посадку в 00:35 22 мая,,SV 6028Saudi Arabian Airlines,D,ПрилетелВыдача багажа: лента 7
2,21:45 21 мая,Каир,,SU 401Аэрофлот,D,ПрилетелВыдача багажа: лента 7
3,Совершил посадку в 00:35 22 мая,Совершил посадку в 00:35 22 мая,,SU 401Аэрофлот,D,ПрилетелВыдача багажа: лента 7
4,22:40 21 мая,Ницца,,SU 2361Аэрофлот,D,ПрилетелВыдача багажа: лента 6
5,Совершил посадку в 00:17 22 мая,Совершил посадку в 00:17 22 мая,,SU 2361Аэрофлот,D,ПрилетелВыдача багажа: лента 6
6,23:25 21 мая,Ереван,,SU 1867Аэрофлот,D,ПрилетелВыдача багажа: лента 9
7,Совершил посадку в 01:01 22 мая,Совершил посадку в 01:01 22 мая,,SU 1867Аэрофлот,D,ПрилетелВыдача багажа: лента 9
8,00:05,Мурманск,,KL 3285KLM,B,ПрилетелВыдача багажа: лента 6
9,Совершил посадку в 23:48 21 мая,Совершил посадку в 23:48 21 мая,,KL 3285KLM,B,ПрилетелВыдача багажа: лента 6
10,00:05,Мурманск,,SU 1317Аэрофлот,B,ПрилетелВыдача багажа: лента 6
11,Совершил посадку в 23:48 21 мая,Совершил посадку в 23:48 21 мая,,SU 1317Аэрофлот,B,ПрилетелВыдача багажа: лента 6
12,00:15,Сочи,,"KL 2859, JU 7041KLM, Air Serbia",B,ПрилетелВыдача багажа: лента 4
13,Совершил посадку в 23:44 21 мая,Совершил посадку в 23:44 21 мая,,"KL 2859, JU 7041KLM, Air Serbia",B,ПрилетелВыдача багажа: лента 4
14,00:15,Сочи,,SU 1131Аэрофлот,B,ПрилетелВыдача багажа: лента 4
15,Совершил посадку в 23:44 21 мая,Совершил посадку в 23:44 21 мая,,SU 1131Аэрофлот,B,ПрилетелВыдача багажа: лента 4
16,00:20,Челябинск,,"FV 6262, SU 6262Россия, Аэрофлот",B,ПрилетелВыдача багажа: лента 3
17,Совершил посадку в 00:05,Совершил посадку в 00:05,,"FV 6262, SU 6262Россия, Аэрофлот",B,ПрилетелВыдача багажа: лента 3
18,00:25,Санкт-Петербург,,SU 31Аэрофлот,B,ПрилетелВыдача багажа: лента 2
19,Совершил посадку в 00:09,Совершил посадку в 00:09,,SU 31Аэрофлот,B,ПрилетелВыдача багажа: лента 2
20,00:25,Санкт-Петербург,,"AZ 4361, JU 7028Alitalia, Air Serbia",B,ПрилетелВыдача багажа: лента 2
21,Совершил посадку в 00:09,Совершил посадку в 00:09,,"AZ 4361, JU 7028Alitalia, Air Serbia",B,ПрилетелВыдача багажа: лента 2
22,00:35,Ростов-на-Дону,,N4 188Nordwind,D,ПрилетелВыдача багажа: лента 1
23,Совершил посадку в 00:30,Совершил посадку в 00:30,,N4 188Nordwind,D,ПрилетелВыдача багажа: лента 1
24,00:55,Сочи,,SU 1119Аэрофлот,B,ПрилетелВыдача багажа: лента 2
25,Совершил посадку в 00:43,Совершил посадку в 00:43,,SU 1119Аэрофлот,B,ПрилетелВыдача багажа: лента 2
26,00:55,Сочи,,"KL 3197, AZ 5552KLM, Alitalia",B,ПрилетелВыдача багажа: лента 2
27,Совершил посадку в 00:43,Совершил посадку в 00:43,,"KL 3197, AZ 5552KLM, Alitalia",B,ПрилетелВыдача багажа: лента 2
28,01:00,Минеральные Воды,,EO 616Pegas Fly,D,ПрилетелВыдача багажа: лента 2
29,Совершил посадку в 01:19,Совершил посадку в 01:19,,EO 616Pegas Fly,D,ПрилетелВыдача багажа: лента 2
30,02:55,Минеральные Воды,,N4 164Nordwind,D,ПрилетелВыдача багажа: лента 3
31,Совершил посадку в 02:37,Совершил посадку в 02:37,,N4 164Nordwind,D,ПрилетелВыдача багажа: лента 3
32,04:35,Сыктывкар,,"FV 6408, SU 6408Россия, Аэрофлот",B,ПрилетелВыдача багажа: лента 6
33,Совершил посадку в 04:04,Совершил посадку в 04:04,,"FV 6408, SU 6408Россия, Аэрофлот",B,ПрилетелВыдача багажа: лента 6
34,04:55,Минеральные Воды,,SU 1315Аэрофлот,B,ПрилетелВыдача багажа: лента 5
35,Совершил посадку в 04:18,Совершил посадку в 04:18,,SU 1315Аэрофлот,B,ПрилетелВыдача багажа: лента 5
36,04:55,Минеральные Воды,,KL 3243KLM,B,ПрилетелВыдача багажа: лента 5
37,Совершил посадку в 04:18,Совершил посадку в 04:18,,KL 3243KLM,B,ПрилетелВыдача багажа: лента 5
38,05:05,Симферополь,,SU 1627Аэрофлот,B,ПрилетелВыдача багажа: лента 4
39,Совершил посадку в 04:21,Совершил посадку в 04:21,,SU 1627Аэрофлот,B,ПрилетелВыдача багажа: лента 4
40,05:10,Краснодар,,N4 362Nordwind,D,ПрилетелВыдача багажа: лента 1
41,Совершил посадку в 04:36,Совершил посадку в 04:36,,N4 362Nordwind,D,ПрилетелВыдача багажа: лента 1
42,05:10,Мурманск,,KL 2850KLM,B,ПрилетелВыдача багажа: лента 6
43,Совершил посадку в 04:59,Совершил посадку в 04:59,,KL 2850KLM,B,ПрилетелВыдача багажа: лента 6
44,05:10,Мурманск,,SU 1323Аэрофлот,B,ПрилетелВыдача багажа: лента 6
45,Совершил посадку в 04:59,Совершил посадку в 04:59,,SU 1323Аэрофлот,B,ПрилетелВыдача багажа: лента 6
46,05:10,Ханой,,VN 63Vietnam Airlines,D,Нет актуальной информации о статусе
47,,,,VN 63Vietnam Airlines,D,Нет актуальной информации о статусе
48,05:35,Дели,,SU 233Аэрофлот,F,ПрилетелВыдача багажа: лента 1-2
49,Совершил посадку в 05:04,Совершил посадку в 05:04,,SU 233Аэрофлот,F,ПрилетелВыдача багажа: лента 1-2
50,05:45,Челябинск,,N4 180Nordwind,D,ПрилетелВыдача багажа: лента 3
51,Совершил посадку в 05:50,Совершил посадку в 05:50,,N4 180Nordwind,D,ПрилетелВыдача багажа: лента 3
52,05:50,Екатеринбург,,SU 1409Аэрофлот,B,ПрилетелВыдача багажа: лента 6
53,Совершил посадку в 05:30,Совершил посадку в 05:30,,SU 1409Аэрофлот,B,ПрилетелВыдача багажа: лента 6
54,05:50,Екатеринбург,,KL 2874KLM,B,ПрилетелВыдача багажа: лента 6
