,Время,Направление,Unnamed: 2,Рейс,Статус
0,00:35,Москва,,U6 263Уральские авиалинии,ПрилетелВыдача багажа: лента 9
1,Совершил посадку в 00:32,Совершил посадку в 00:32,,U6 263Уральские авиалинии,ПрилетелВыдача багажа: лента 9
2,00:45,Сочи,,7R 878РусЛайн,ПрилетелВыдача багажа: лента 7
3,Совершил посадку в 00:27,Совершил посадку в 00:27,,7R 878РусЛайн,ПрилетелВыдача багажа: лента 7
4,01:55,Москва,,SU 1406Аэрофлот,ПрилетелВыдача багажа: лента 10
5,Совершил посадку в 01:24,Совершил посадку в 01:24,,SU 1406Аэрофлот,ПрилетелВыдача багажа: лента 10
6,02:15,Москва,,U6 265Уральские авиалинии,ПрилетелВыдача багажа: лента 8
7,Совершил посадку в 02:10,Совершил посадку в 02:10,,U6 265Уральские авиалинии,ПрилетелВыдача багажа: лента 8
8,03:25,Москва,,DP 403Победа,ПрилетелВыдача багажа: лента 9
9,Совершил посадку в 03:22,Совершил посадку в 03:22,,DP 403Победа,ПрилетелВыдача багажа: лента 9
10,03:50,Москва,,N4 173Nordwind,ПрилетелВыдача багажа: лента 10
11,Совершил посадку в 03:42,Совершил посадку в 03:42,,N4 173Nordwind,ПрилетелВыдача багажа: лента 10
12,04:00,Анталья,,ZF 9696Azur Air,ПрилетелВыдача багажа: лента 2
13,Совершил посадку в 03:34,Совершил посадку в 03:34,,ZF 9696Azur Air,ПрилетелВыдача багажа: лента 2
14,04:00,Москва,,U6 271Уральские авиалинии,ПрилетелВыдача багажа: лента 8
15,Совершил посадку в 04:12,Совершил посадку в 04:12,,U6 271Уральские авиалинии,ПрилетелВыдача багажа: лента 8
16,04:00,Бишкек,,U6 8986Уральские авиалинии,ПрилетелВыдача багажа: лента 8
17,Совершил посадку в 05:27,Совершил посадку в 05:27,,U6 8986Уральские авиалинии,ПрилетелВыдача багажа: лента 8
18,04:10,Москва,,SU 1408Аэрофлот,ПрилетелВыдача багажа: лента 9
19,Совершил посадку в 03:51,Совершил посадку в 03:51,,SU 1408Аэрофлот,ПрилетелВыдача багажа: лента 9
20,04:10,Москва,,JU 7067Air Serbia,ПрилетелВыдача багажа: лента 9
21,Совершил посадку в 03:51,Совершил посадку в 03:51,,JU 7067Air Serbia,ПрилетелВыдача багажа: лента 9
22,04:15,Москва,,DP 405Победа,ПрилетелВыдача багажа: лента 10
23,Совершил посадку в 03:57,Совершил посадку в 03:57,,DP 405Победа,ПрилетелВыдача багажа: лента 10
24,04:40,Санкт-Петербург,,DP 515Победа,ПрилетелВыдача багажа: лента 7
25,Совершил посадку в 04:26,Совершил посадку в 04:26,,DP 515Победа,ПрилетелВыдача багажа: лента 7
26,04:55,Санкт-Петербург,,"FV 6401, SU 6401Россия, Аэрофлот",ПрилетелВыдача багажа: лента 8
27,Совершил посадку в 04:40,Совершил посадку в 04:40,,"FV 6401, SU 6401Россия, Аэрофлот",ПрилетелВыдача багажа: лента 8
28,05:05,Сочи,,N4 142Nordwind,ПрилетелВыдача багажа: лента 10
29,Совершил посадку в 04:55,Совершил посадку в 04:55,,N4 142Nordwind,ПрилетелВыдача багажа: лента 10
30,05:05,Сочи,,DP 339Победа,ПрилетелВыдача багажа: лента 9
31,Совершил посадку в 05:01,Совершил посадку в 05:01,,DP 339Победа,ПрилетелВыдача багажа: лента 9
32,05:20,Москва,,"S7 1171, EK 7863, EY 8718, B2 171S7 Airlines, Emirates, Etihad Airways, Белавиа",ПрилетелВыдача багажа: лента 9
