City,Airport,IATA,ICAO,Date,Arrivals,Departures
Грозный,Грозный,GRV,URMG,2021-03-17,6,7
Грозный,Грозный,GRV,URMG,2021-03-16,6,7
Грозный,Грозный,GRV,URMG,2021-03-15,6,7
Грозный,Грозный,GRV,URMG,2021-03-14,6,6
Грозный,Грозный,GRV,URMG,2021-03-13,6,6
Грозный,Грозный,GRV,URMG,2021-03-12,6,6
Грозный,Грозный,GRV,URMG,2021-03-11,6,6
Грозный,Грозный,GRV,URMG,2021-03-10,6,6
Грозный,Грозный,GRV,URMG,2021-03-09,7,7
Грозный,Грозный,GRV,URMG,2021-03-08,7,7
Грозный,Грозный,GRV,URMG,2021-03-07,7,7
Грозный,Грозный,GRV,URMG,2021-03-06,7,7
Грозный,Грозный,GRV,URMG,2021-03-05,7,6
Грозный,Грозный,GRV,URMG,2021-03-04,7,6
Грозный,Грозный,GRV,URMG,2021-03-03,7,7
Грозный,Грозный,GRV,URMG,2021-03-02,7,7
Грозный,Грозный,GRV,URMG,2021-03-01,7,7
Грозный,Грозный,GRV,URMG,2021-02-28,7,7
Грозный,Грозный,GRV,URMG,2021-02-27,7,7
Грозный,Грозный,GRV,URMG,2021-02-26,7,7
Грозный,Грозный,GRV,URMG,2021-02-25,7,7
Грозный,Грозный,GRV,URMG,2021-02-24,7,6
Грозный,Грозный,GRV,URMG,2021-02-23,6,6
Грозный,Грозный,GRV,URMG,2021-02-22,7,7
Грозный,Грозный,GRV,URMG,2021-02-21,7,7
Грозный,Грозный,GRV,URMG,2021-02-20,6,7
Грозный,Грозный,GRV,URMG,2021-02-19,7,7
Грозный,Грозный,GRV,URMG,2021-02-18,6,6
Грозный,Грозный,GRV,URMG,2021-02-17,6,7
Грозный,Грозный,GRV,URMG,2021-02-16,6,6
Грозный,Грозный,GRV,URMG,2021-02-15,6,6
Грозный,Грозный,GRV,URMG,2021-02-14,6,6
Грозный,Грозный,GRV,URMG,2021-02-13,6,6
Грозный,Грозный,GRV,URMG,2021-02-12,6,6
Грозный,Грозный,GRV,URMG,2021-02-11,6,6
Грозный,Грозный,GRV,URMG,2021-02-10,6,6
Грозный,Грозный,GRV,URMG,2021-02-09,6,6
Грозный,Грозный,GRV,URMG,2021-02-08,7,6
Грозный,Грозный,GRV,URMG,2021-02-07,7,6
Грозный,Грозный,GRV,URMG,2021-02-06,7,6
Грозный,Грозный,GRV,URMG,2021-02-05,7,6
Грозный,Грозный,GRV,URMG,2021-02-04,7,6
Грозный,Грозный,GRV,URMG,2021-02-03,7,6
Грозный,Грозный,GRV,URMG,2021-02-02,7,6
Грозный,Грозный,GRV,URMG,2021-02-01,7,6
Грозный,Грозный,GRV,URMG,2021-01-31,6,6
Грозный,Грозный,GRV,URMG,2021-01-30,6,6
Грозный,Грозный,GRV,URMG,2021-01-29,6,6
Грозный,Грозный,GRV,URMG,2021-01-28,6,6
Грозный,Грозный,GRV,URMG,2021-01-27,6,6
Грозный,Грозный,GRV,URMG,2021-01-26,6,7
Грозный,Грозный,GRV,URMG,2021-01-25,7,7
Грозный,Грозный,GRV,URMG,2021-01-24,7,7
Грозный,Грозный,GRV,URMG,2021-01-23,7,7
Грозный,Грозный,GRV,URMG,2021-01-22,7,7
Грозный,Грозный,GRV,URMG,2021-01-21,7,7
Грозный,Грозный,GRV,URMG,2021-01-20,7,7
Грозный,Грозный,GRV,URMG,2021-01-19,7,7
Грозный,Грозный,GRV,URMG,2021-01-18,7,6
Грозный,Грозный,GRV,URMG,2021-01-17,7,6
Грозный,Грозный,GRV,URMG,2021-01-16,7,6
Грозный,Грозный,GRV,URMG,2021-01-15,7,6
Грозный,Грозный,GRV,URMG,2021-01-14,7,6
Грозный,Грозный,GRV,URMG,2021-01-13,6,6
Грозный,Грозный,GRV,URMG,2021-01-12,7,6
Грозный,Грозный,GRV,URMG,2021-01-11,7,6
Грозный,Грозный,GRV,URMG,2021-01-10,7,6
Грозный,Грозный,GRV,URMG,2021-01-09,6,6
Грозный,Грозный,GRV,URMG,2021-01-08,6,6
Грозный,Грозный,GRV,URMG,2021-01-07,6,6
Грозный,Грозный,GRV,URMG,2021-01-06,6,6
Грозный,Грозный,GRV,URMG,2021-01-05,6,5
Грозный,Грозный,GRV,URMG,2021-01-04,6,6
Грозный,Грозный,GRV,URMG,2021-01-03,6,6
Грозный,Грозный,GRV,URMG,2021-01-02,6,6
Грозный,Грозный,GRV,URMG,2021-01-01,6,6
Грозный,Грозный,GRV,URMG,2020-12-31,7,7
Грозный,Грозный,GRV,URMG,2020-12-30,8,7
Грозный,Грозный,GRV,URMG,2020-12-29,8,8
Грозный,Грозный,GRV,URMG,2020-12-28,8,8
Грозный,Грозный,GRV,URMG,2020-12-27,8,8
Грозный,Грозный,GRV,URMG,2020-12-26,8,8
Грозный,Грозный,GRV,URMG,2020-12-25,8,8
Грозный,Грозный,GRV,URMG,2020-12-24,8,8
Грозный,Грозный,GRV,URMG,2020-12-23,8,7
Грозный,Грозный,GRV,URMG,2020-12-22,8,7
Грозный,Грозный,GRV,URMG,2020-12-21,8,7
Грозный,Грозный,GRV,URMG,2020-12-20,8,7
Грозный,Грозный,GRV,URMG,2020-12-19,7,7
Грозный,Грозный,GRV,URMG,2020-12-18,7,7
Грозный,Грозный,GRV,URMG,2020-12-17,7,6
Грозный,Грозный,GRV,URMG,2020-12-16,7,7
Грозный,Грозный,GRV,URMG,2020-12-15,7,7
Грозный,Грозный,GRV,URMG,2020-12-14,7,7
Грозный,Грозный,GRV,URMG,2020-12-13,7,7
Грозный,Грозный,GRV,URMG,2020-12-12,8,7
Грозный,Грозный,GRV,URMG,2020-12-11,7,7
Грозный,Грозный,GRV,URMG,2020-12-10,7,7
Грозный,Грозный,GRV,URMG,2020-12-09,7,7
Грозный,Грозный,GRV,URMG,2020-12-08,7,7
Грозный,Грозный,GRV,URMG,2020-12-07,7,7
Грозный,Грозный,GRV,URMG,2020-12-06,7,7
Грозный,Грозный,GRV,URMG,2020-12-05,7,7
Грозный,Грозный,GRV,URMG,2020-12-04,7,7
Грозный,Грозный,GRV,URMG,2020-12-03,7,6
Грозный,Грозный,GRV,URMG,2020-12-02,6,6
Грозный,Грозный,GRV,URMG,2020-12-01,6,6
Грозный,Грозный,GRV,URMG,2020-11-30,6,5
Грозный,Грозный,GRV,URMG,2020-11-29,6,5
Грозный,Грозный,GRV,URMG,2020-11-28,6,5
Грозный,Грозный,GRV,URMG,2020-11-27,6,5
Грозный,Грозный,GRV,URMG,2020-11-26,6,5
Грозный,Грозный,GRV,URMG,2020-11-25,6,6
Грозный,Грозный,GRV,URMG,2020-11-24,6,6
Грозный,Грозный,GRV,URMG,2020-11-23,6,6
Грозный,Грозный,GRV,URMG,2020-11-22,6,6
Грозный,Грозный,GRV,URMG,2020-11-21,6,6
Грозный,Грозный,GRV,URMG,2020-11-20,6,6
Грозный,Грозный,GRV,URMG,2020-11-19,6,6
Грозный,Грозный,GRV,URMG,2020-11-18,6,6
Грозный,Грозный,GRV,URMG,2020-11-17,6,7
Грозный,Грозный,GRV,URMG,2020-11-16,6,7
Грозный,Грозный,GRV,URMG,2020-11-15,6,7
Грозный,Грозный,GRV,URMG,2020-11-14,6,7
Грозный,Грозный,GRV,URMG,2020-11-13,6,7
Грозный,Грозный,GRV,URMG,2020-11-12,6,7
Грозный,Грозный,GRV,URMG,2020-11-11,6,6
Грозный,Грозный,GRV,URMG,2020-11-10,6,6
Грозный,Грозный,GRV,URMG,2020-11-09,6,6
Грозный,Грозный,GRV,URMG,2020-11-08,6,6
Грозный,Грозный,GRV,URMG,2020-11-07,7,6
Грозный,Грозный,GRV,URMG,2020-11-06,6,6
Грозный,Грозный,GRV,URMG,2020-11-05,7,7
Грозный,Грозный,GRV,URMG,2020-11-04,7,6
Грозный,Грозный,GRV,URMG,2020-11-03,7,6
Грозный,Грозный,GRV,URMG,2020-11-02,7,7
Грозный,Грозный,GRV,URMG,2020-11-01,7,6
Грозный,Грозный,GRV,URMG,2020-10-31,7,6
Грозный,Грозный,GRV,URMG,2020-10-30,6,6
Грозный,Грозный,GRV,URMG,2020-10-29,6,6
Грозный,Грозный,GRV,URMG,2020-10-28,6,6
Грозный,Грозный,GRV,URMG,2020-10-27,6,6
Грозный,Грозный,GRV,URMG,2020-10-26,6,6
Грозный,Грозный,GRV,URMG,2020-10-25,6,6
Грозный,Грозный,GRV,URMG,2020-10-24,6,6
Грозный,Грозный,GRV,URMG,2020-10-23,6,6
Грозный,Грозный,GRV,URMG,2020-10-22,6,6
Грозный,Грозный,GRV,URMG,2020-10-21,6,6
Грозный,Грозный,GRV,URMG,2020-10-20,6,6
Грозный,Грозный,GRV,URMG,2020-10-19,6,5
Грозный,Грозный,GRV,URMG,2020-10-18,6,5
Грозный,Грозный,GRV,URMG,2020-10-17,6,5
Грозный,Грозный,GRV,URMG,2020-10-16,5,5
Грозный,Грозный,GRV,URMG,2020-10-15,6,5
Грозный,Грозный,GRV,URMG,2020-10-14,5,5
Грозный,Грозный,GRV,URMG,2020-10-13,5,5
Грозный,Грозный,GRV,URMG,2020-10-12,5,5
Грозный,Грозный,GRV,URMG,2020-10-11,5,5
Грозный,Грозный,GRV,URMG,2020-10-10,5,5
Грозный,Грозный,GRV,URMG,2020-10-09,5,5
Грозный,Грозный,GRV,URMG,2020-10-08,5,5
Грозный,Грозный,GRV,URMG,2020-10-07,5,5
Грозный,Грозный,GRV,URMG,2020-10-06,5,5
Грозный,Грозный,GRV,URMG,2020-10-05,5,5
Грозный,Грозный,GRV,URMG,2020-10-04,5,5
Грозный,Грозный,GRV,URMG,2020-10-03,5,6
Грозный,Грозный,GRV,URMG,2020-10-02,5,6
Грозный,Грозный,GRV,URMG,2020-10-01,6,6
Грозный,Грозный,GRV,URMG,2020-09-30,6,6
Грозный,Грозный,GRV,URMG,2020-09-29,6,6
Грозный,Грозный,GRV,URMG,2020-09-28,6,6
Грозный,Грозный,GRV,URMG,2020-09-27,6,6
Грозный,Грозный,GRV,URMG,2020-09-26,6,6
Грозный,Грозный,GRV,URMG,2020-09-25,6,6
Грозный,Грозный,GRV,URMG,2020-09-24,6,6
Грозный,Грозный,GRV,URMG,2020-09-23,6,6
Грозный,Грозный,GRV,URMG,2020-09-22,6,6
Грозный,Грозный,GRV,URMG,2020-09-21,6,6
Грозный,Грозный,GRV,URMG,2020-09-20,6,6
Грозный,Грозный,GRV,URMG,2020-09-19,6,6
